"Номер объекта","Вид объекта недвижимости","Кадастровый квартал","Площадь, кв.м.","Тип сделки","Дата сделки","Дата регистрации/ предложения","Цена сделки/ предложения, руб.","Удельная цена сделки/ предложения, руб./кв.м.","Доля в праве на объект недвижимости","Назначение/Категория земель","Разрешенное использование","Количество надземных этажей","Подземная этажность","Ограничения (обременения) вещных прав","Жилая площадь, кв.м.","Наименование","ОКАТО","Субъект","Район","Город","Населенный пункт","Улица","Номер  этажа","Количество объектов в сделке","Источник данных","Организация","Материал наружных стен","Год ввода в эксплуатацию","Год завершения строительства","Вид жилого помещения в многоквартирном доме","Тип информации","Идентификатор записи"
"154631041","Помещение","78:15:0843301",43,4,"Договор купли-продажи","08.2013","08.2013",3080000,00,70967,74,,"Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Ветеранов","2",1,"Из учетных систем Росреестра","Росреестр","Не указан","2009","Не указан","Не указан","Сделка",6454106646
"71266038","Помещение","78:34:0410301",46,5,"Договор купли-продажи","01.2013","02.2013",410000,00,8817,20,"3/30","Жилое помещение",,,,"Ипотека",29,5,"Квартира","40000000000","Г.Санкт-Петербург",,,"Ленинград","Байконурская","8",4,"Из учетных систем Росреестра","Росреестр","Не указан","2005","Не указан","Не указан","Сделка",6454106701
"51917002","Помещение","78:37:0017201",31,7,"Договор купли-продажи","10.2013","12.2013",1219000,00,38454,26,,"Жилое помещение",,,,"Ипотека",19,8,"Квартира","40277501000","Г.Санкт-Петербург",,"Колпино",,"Новгородская","1",1,"Из учетных систем Росреестра","Росреестр","Не указан","2003","Не указан","Не указан","Сделка",6454106764
"697650039","Помещение","78:36:0511802",51,1,"Договор купли-продажи","07.2013","07.2013",320000,00,6262,23,"2/5","Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Лесной","2",4,"Из учетных систем Росреестра","Росреестр","Не указан","2001","Не указан","Не указан","Сделка",6454106943
"603649039","Помещение","78:36:0005527",32,6,"Договор купли-продажи","07.2013","07.2013",973901,18,29874,27,,"Жилое помещение",,,,"Ипотека",17,5,"Квартира","40265564000","Г.Санкт-Петербург",,,,"Руднева","1",1,"Из учетных систем Росреестра","Росреестр","Не указан","2005","Не указан","Не указан","Сделка",6454107059
"10995852039","Помещение","78:36:0005509",97,3,"Договор купли-продажи","12.2012","01.2013",6076883,00,62455,12,,"Жилое помещение",,,,"Без обременения",,"ъКвартира","40000000000","Г.Санкт-Петербург",,,,"Композиторов","11",1,"Из учетных систем Росреестра","Росреестр","Не указан","2012","Не указан","Не указан","Сделка",6454107061
"2667005","Здание","78:40:0020626",66,2,"Договор купли-продажи","02.2013","02.2013",7200000,00,108761,33,"3/8","Жилое помещение",,"2 (в т.ч.мансарда)",,"Без обременения",,"Жилой дом","40290502000","Г.Санкт-Петербург",,"Ломоносов",,,,2,"Из учетных систем Росреестра","Росреестр","Не указан","2007","Не указан","Не указан","Сделка",6454107093
"120343035","Помещение","78:40:0008472",32,4,"Договор купли-продажи","12.2013","12.2013",2064000,00,63703,70,,"Жилое помещение",,,,"Ипотека",17,7,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Ветеранов","3",2,"Из учетных систем Росреестра","Росреестр","Не указан","1999","Не указан","Не указан","Сделка",6454107139
"86424032","Помещение","78:11:0006012",53,4,"Договор купли-продажи","02.2013","02.2013",4590000,00,85955,06,"1/2","Жилое помещение",,,,"Ипотека",,"Квартира","40278563000","Г.Санкт-Петербург",,,,"Новочеркасский","8",2,"Из учетных систем Росреестра","Росреестр","Не указан","2001","Не указан","Не указан","Сделка",6454107174
"128557032","Помещение","78:11:0006040",31,1,"Договор купли-продажи","04.2013","04.2013",2850000,00,91639,87,"1/3","Жилое помещение",,,,"Ипотека",,"Квартира","40278562000","Г.Санкт-Петербург",,,"Ленинград","Большая Пороховская","2",3,"Из учетных систем Росреестра","Росреестр","Не указан","2013","Не указан","Не указан","Сделка",6454107240
"29220033","Помещение","78:06:0002208",40,1,"Договор купли-продажи","02.2013","02.2013",3800000,00,94763,09,"1/9","Жилое помещение",,,,"Без обременения",,"Квартира","40263563000","Г.Санкт-Петербург",,,,"Гаванская","2",5,"Из учетных систем Росреестра","Росреестр","Не указан","2000","Не указан","Не указан","Сделка",6454109431
"68116030","Помещение","78:32:0001720",83,2,"Договор купли-продажи","12.2012","01.2013",2000000,00,24038,46,"1/2","Жилое помещение",,,,"Без обременения",51,9,"Квартира","40000000000","Г.Санкт-Петербург",,,,"12-я Красноармейская","4",2,"Из учетных систем Росреестра","Росреестр","Не указан","2003","Не указан","Не указан","Сделка",6454109618
"68197034","Помещение","78:14:0007674",41,4,"Договор купли-продажи","03.2007","02.2013",3550000,00,85748,79,,"Жилое помещение",,,,"Ипотека",27,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Ленсовета","5",2,"Из учетных систем Росреестра","Росреестр","Не указан","2005","Не указан","Не указан","Сделка",6454109642
"10553732038","Помещение","78:34:0000000",49,6,"Договор купли-продажи","02.2013","03.2013",2000000,00,40322,58,,"Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Шуваловский","18",1,"Из учетных систем Росреестра","Росреестр","Не указан","2012","Не указан","Не указан","Сделка",6454109683
"10313777041","Помещение","78:15:0008067",188,3,"Договор купли-продажи","10.2013","11.2013",51000000,00,270844,40,,"Нежилое помещение",,,,"Ипотека",,"Нежилое помещение","40000000000","Г.Санкт-Петербург",,,,"Маршала Говорова","5",3,"Из учетных систем Росреестра","Росреестр","Не указан","2011","Не указан","Не указан","Сделка",6454109718
"82772036","Помещение","78:13:0007419",54,3,"Договор купли-продажи","11.2013","11.2013",2930000,00,53959,48,"1/2","Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Пражская","14",2,"Из учетных систем Росреестра","Росреестр","Не указан","2004","Не указан","Не указан","Сделка",6454109747
"41265002","Помещение","78:37:1710103",56,5,"Договор купли-продажи","02.2013","04.2013",1000000,00,17699,12,"1/5","Жилое помещение",,,,"Без обременения",,"Квартира","40277501000","Г.Санкт-Петербург",,"Колпино",,"Красных Партизан","7",5,"Из учетных систем Росреестра","Росреестр","Не указан","2012","Не указан","Не указан","Сделка",6454109766
